section,date,day,hour,speed
0,2025-09-01,0,18,100.64
0,2025-09-01,0,19,95.31
0,2025-09-01,0,20,81.86
0,2025-09-01,0,21,82.96
0,2025-09-01,0,22,85.01
0,2025-09-01,0,23,80.73
0,2025-09-02,1,0,70.26
0,2025-09-02,1,1,67.16
0,2025-09-02,1,2,65.51
0,2025-09-02,1,3,67.56
0,2025-09-02,1,4,78.67
0,2025-09-02,1,5,89.16
0,2025-09-02,1,6,100.01
0,2025-09-02,1,7,97.87
0,2025-09-02,1,8,99.89
0,2025-09-02,1,9,94.38
0,2025-09-02,1,10,90.59
0,2025-09-02,1,11,95.83
0,2025-09-02,1,12,96.17
0,2025-09-02,1,13,102.37
0,2025-09-02,1,14,96.19
0,2025-09-02,1,15,93.87
0,2025-09-02,1,16,96.42
0,2025-09-02,1,17,98.05
0,2025-09-02,1,18,99.57
0,2025-09-02,1,19,95.73
0,2025-09-02,1,20,94.89
0,2025-09-02,1,21,96.76
0,2025-09-02,1,22,96.66
0,2025-09-02,1,23,94.89
0,2025-09-03,2,0,90.33
0,2025-09-03,2,1,85.13
0,2025-09-03,2,2,74.63
0,2025-09-03,2,3,74.0
0,2025-09-03,2,4,77.62
0,2025-09-03,2,5,91.35
0,2025-09-03,2,6,99.51
0,2025-09-03,2,7,98.29
0,2025-09-03,2,8,99.39
0,2025-09-03,2,9,92.37
0,2025-09-03,2,10,91.39
0,2025-09-03,2,11,92.1
0,2025-09-03,2,12,92.77
0,2025-09-03,2,13,95.79
0,2025-09-03,2,14,96.0
0,2025-09-03,2,15,93.72
0,2025-09-03,2,16,94.93
0,2025-09-03,2,17,96.81
0,2025-09-03,2,18,98.87
0,2025-09-03,2,19,94.31
0,2025-09-03,2,20,93.0
0,2025-09-03,2,21,93.57
0,2025-09-03,2,22,93.14
0,2025-09-03,2,23,92.56
0,2025-09-04,3,0,87.7
0,2025-09-04,3,1,86.79
0,2025-09-04,3,2,82.34
0,2025-09-04,3,3,78.49
